Swedish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
brist,0,0,0,0,0,1,0,0,0,0
underskott,0,0,0,0,0,1,0,0,0,0
definiera,0,0,0,0,0,0,0,0,0,0
definierat,0,0,0,0,0,0,0,0,0,0
definition,0,0,0,0,0,0,0,0,0,0
slutgiltig,0,0,0,0,0,0,1,0,0,1
tömma luften,1,0,0,0,0,1,0,1,0,0
deflation,0,0,0,1,0,1,0,0,0,0
"avleda, avvika, avlänka",0,0,0,0,0,0,0,0,0,0
böjning,0,0,0,0,0,0,0,0,0,0
deflorering,0,0,0,0,0,0,0,0,0,0
deformera,0,0,1,0,0,1,0,0,0,0
deformerad,0,0,1,0,0,1,0,1,0,0
deformitet,0,0,1,1,0,1,0,1,0,0
bedra,1,0,1,0,0,1,0,0,0,0
bekosta,0,0,0,0,0,0,0,0,0,0
skicklig,0,0,0,0,0,0,0,0,0,0
nedlagda,0,0,0,0,0,1,0,1,0,0
trotsa,1,0,0,1,0,1,0,1,1,0
degeneration,1,0,1,0,0,1,0,1,0,0
degenererad,0,0,0,0,0,1,0,0,0,0
degeneration,0,0,0,0,0,0,0,0,0,0
degradering,0,0,0,0,0,1,0,0,0,0
degradera,0,0,1,0,0,1,0,0,0,0
förnedrande,0,0,1,1,0,1,0,1,0,0
grad,0,0,0,0,0,0,1,0,0,0
uttorkad,0,0,0,0,0,0,0,0,0,0
dröjsmål,1,0,1,1,0,1,0,1,0,0
försenad,0,0,0,0,0,1,0,0,0,0
ljuvlig,0,0,0,0,0,0,1,0,0,0
delegera,0,0,0,0,0,0,1,0,0,1
delegation,0,0,0,0,0,0,0,0,0,0
skadlig,1,0,1,1,0,1,0,0,0,0
radering,0,0,0,0,0,1,0,0,0,0
avsiktlig,0,0,0,0,0,0,1,0,0,0
överläggning,0,0,0,0,0,0,0,0,0,0
övervägande,0,0,0,0,0,0,0,0,0,0
delikatess,0,0,0,0,0,0,0,0,0,0
utsökt,0,0,0,0,1,0,1,0,0,0
glädje,0,1,0,0,1,0,1,0,0,0
förtjust,0,1,0,0,1,0,1,0,1,0
härlig,0,1,0,0,1,0,1,0,0,1
beskriva,0,0,0,0,0,0,0,0,0,0
avgränsning,0,0,0,0,0,0,0,0,0,0
brottslighet,0,0,0,0,0,1,0,0,0,0
brottsling,1,0,1,0,0,1,0,0,0,0
yrande,0,0,0,0,0,1,0,1,0,0
delirium,0,0,1,0,0,1,0,1,0,0
befrielse,0,1,0,0,1,0,1,0,0,1
leverans,0,1,0,0,0,0,1,0,0,0
dell,0,0,0,0,0,0,0,0,0,0
delta,0,0,0,0,0,0,0,0,0,0
syndaflod,0,0,0,1,0,1,0,1,1,0
villfarelse,1,0,0,1,0,1,0,1,0,0
förvirrad,1,0,0,1,0,1,0,0,0,0
gräva,0,0,0,0,0,0,0,0,0,0
efterfrågan,1,0,0,0,0,1,0,0,0,0
krävande,0,0,0,0,0,1,0,0,0,0
uppträdande,0,0,0,0,0,0,0,0,0,0
tokig,0,0,0,1,0,1,0,0,0,0
demens,0,0,0,1,0,1,0,1,0,0
frånfälle,0,0,0,1,0,1,0,1,0,0
demokrati,0,0,0,0,0,0,1,0,0,0
demokrat,0,0,0,0,0,0,0,0,0,0
förstöra,1,0,0,0,0,1,0,1,0,0
rivning,0,0,0,0,0,1,0,0,0,0
demon,1,0,1,1,0,1,0,1,0,0
demonisk,1,0,1,1,0,1,0,1,0,0
påvisbara,0,0,0,0,0,0,1,0,0,0
demonstrera,0,0,0,0,0,0,0,0,0,0
demonstrerade,0,0,0,0,0,0,0,0,0,0
demonstrerar,0,0,0,0,0,0,0,0,0,0
demonstration,0,0,0,0,0,0,0,0,0,0
demonstrativ,0,0,0,0,1,0,1,1,0,0
demonstrant,0,0,0,0,0,0,0,0,0,0
demoraliserad,0,0,0,1,0,1,0,1,0,0
demos,0,0,0,0,0,0,0,0,0,0
håla,0,0,0,0,0,0,0,0,0,0
avslag,0,0,0,0,0,1,0,0,0,0
nekad,0,0,0,0,0,1,0,1,0,0
valör,0,0,0,0,0,0,0,0,0,0
konfessionell,0,0,0,0,0,0,0,0,0,0
nämnare,0,0,0,0,0,0,0,0,0,0
beteckna,0,0,0,0,0,0,0,0,0,0
fördöma,1,0,1,0,0,1,0,0,0,0
tät,0,0,0,0,0,0,0,0,0,0
densitet,0,0,0,0,0,0,0,0,0,0
buckla,0,0,0,0,0,0,0,0,0,0
tandvård,0,0,0,1,0,0,0,0,0,0
uppsägning,1,0,1,1,0,1,0,0,0,0
förneka,1,0,0,0,0,1,0,0,0,0
förnekar,0,1,0,0,0,1,0,0,0,0
deodorant,0,0,0,0,0,0,0,0,0,0
avvika,0,1,0,0,0,0,0,1,0,0
avgick,0,0,0,0,0,1,0,1,0,0
avdelning,0,0,0,0,0,0,0,0,0,0
avresa,0,0,0,0,0,1,0,1,0,0
bero,0,1,0,0,0,0,0,0,0,1
beroende,0,0,0,0,0,0,0,0,0,0
beroende,0,0,0,1,0,1,0,1,0,0
beroende,0,0,0,0,0,1,0,0,0,0
beroende,0,0,0,0,0,1,1,0,0,1
skildra,0,0,0,0,0,0,0,0,0,0
skildrar,0,0,0,0,0,0,0,0,0,0
tömning,0,0,0,0,0,0,0,0,0,0
beklaglig,1,0,1,1,0,1,0,1,0,0
djupt beklaga,1,0,1,0,0,1,0,1,0,0
distribuera,0,0,0,0,0,0,0,0,0,0
deportera,0,0,0,1,0,1,0,1,0,0
Deportation,1,0,0,1,0,1,0,1,0,0
deposition,0,0,0,0,0,0,0,0,0,0
depositarie,0,0,0,0,0,0,0,0,0,0
deposition,0,0,0,0,0,0,0,0,0,0
depositarie,0,0,0,0,0,0,0,0,0,1
depå,0,0,0,0,0,0,0,0,0,0
depraverad,1,1,1,1,0,1,0,1,0,0
sedefördärv,1,0,1,0,0,1,0,0,0,0
minska i värde,1,0,1,0,0,1,0,0,0,0
avskrivna,1,0,1,1,0,1,0,1,0,0
avskrivning,0,0,0,1,0,1,0,0,0,0
sänka,0,0,0,1,0,1,0,1,0,0
deprimerad,1,0,0,1,0,1,0,1,0,0
deprimerande,0,0,1,0,0,1,0,1,0,0
depression,0,0,0,0,0,1,0,1,0,0
depressiv,0,0,0,0,0,1,0,1,0,0
berövande,1,0,1,1,0,1,0,1,0,0
djup,0,0,0,0,0,0,1,0,0,1
vice,0,0,0,0,0,0,0,0,0,1
spåra ur,0,0,0,0,0,0,0,0,0,0
rubbad,1,0,1,1,0,1,0,0,0,0
övergiven,0,0,0,0,0,1,0,0,0,0
hån,1,0,1,0,0,1,0,0,0,0
härledning,0,0,0,0,0,0,0,0,0,0
derivat,0,0,0,0,0,0,0,0,0,0
härleda,0,0,0,0,0,0,0,0,0,0
dermal,0,0,0,0,0,0,0,0,0,0
hudläkare,0,0,0,0,0,0,0,0,0,1
dermatologi,0,0,0,0,0,0,0,0,0,0
undantag,1,0,1,1,0,1,0,1,0,0
nedsättande,1,0,1,1,0,1,0,1,0,0
sjunka,0,0,0,0,0,0,0,0,0,0
ättling,0,0,0,0,0,0,0,0,0,0
ättling,0,0,0,0,0,0,0,0,0,0
nedåtgående,0,0,0,0,0,0,0,0,0,0
härkomst,0,0,0,1,0,0,0,1,0,0
beskriva,0,0,0,0,0,0,0,0,0,0
beskrivning,0,0,0,0,0,0,0,0,0,0
beskrivande,0,0,0,0,0,0,1,0,0,0
vanhelgande,1,0,1,1,0,1,0,1,0,0
öken-,1,0,1,1,0,1,0,1,0,0
folktom,1,0,1,1,0,1,0,1,0,0
övergivenhet,0,0,0,0,0,1,0,0,0,0
förtjänar,1,1,0,0,0,0,1,0,0,1
förtjänade,0,0,0,0,0,0,1,0,0,0
förtjänar,0,0,0,0,0,0,0,0,0,0
design,0,0,0,0,0,0,0,0,0,0
beteckna,0,0,0,0,0,0,0,0,0,0
beteckning,0,0,0,0,0,0,0,0,0,1
designad,0,0,0,0,0,0,0,0,0,0
designer,0,0,0,0,0,0,1,0,0,0
design,0,0,0,0,0,0,0,0,0,0
önskvärdhet,0,0,0,0,0,0,0,0,0,0
önskvärd,0,0,0,0,0,0,1,0,0,0
önskar,0,0,0,0,0,0,1,0,0,0
lysten,0,0,0,0,0,0,1,0,0,0
avstå,1,0,1,0,0,1,0,0,0,0
skrivbord,0,0,0,0,0,0,0,0,0,0
ödslighet,0,0,0,1,0,1,0,1,0,0
förtvivlan,1,0,1,1,0,1,0,1,0,0
förtvivlad,0,0,0,1,0,1,0,1,0,0
försändelse,0,0,0,0,0,0,0,0,0,0
desperat,0,0,0,0,0,1,0,0,0,0
desperation,0,0,0,0,0,0,0,0,0,0
föraktlig,1,0,1,0,0,1,0,0,0,0
förakta,1,0,1,0,0,1,0,0,0,0
despotisk,0,0,0,1,0,1,0,0,0,0
despotism,1,0,1,1,0,1,0,1,0,0
efterrätt,0,0,0,0,0,0,0,0,0,0
destination,0,1,0,1,1,0,1,1,1,0
destinerad,0,1,0,0,0,0,0,0,0,0
Öde,0,0,0,0,0,0,0,0,0,0
utblottad,0,0,0,1,0,1,0,1,0,0
förstörd,1,0,0,1,0,1,0,1,0,0
jagare,1,0,0,1,0,1,0,0,0,0
förstöra,1,0,0,1,0,1,0,1,0,0
förstörelse,1,0,0,0,0,1,0,0,0,0
destruktiv,1,0,1,1,0,1,0,0,0,0
lösgöra,0,0,0,0,0,0,0,0,0,0
friliggande,0,0,0,0,0,0,0,0,0,0
avskildhet,0,0,0,0,0,1,0,0,0,0
detalj,0,0,0,0,0,0,0,0,0,0
detaljer,0,0,0,0,0,0,0,0,0,0
internera,0,0,0,0,0,1,0,0,0,0
fången,1,1,0,1,0,1,0,1,0,0
"upptäcka, detektera",0,0,0,0,0,0,1,0,0,0
detekterbar,0,0,0,0,0,0,0,0,0,0
upptäckt,0,0,0,0,0,0,1,0,0,0
detektiv-,0,0,0,0,0,0,0,0,0,0
detektor,0,0,0,0,0,0,0,0,0,0
kvarsittning,0,0,0,0,0,1,0,1,0,0
avskräcka,0,0,0,0,0,0,0,0,0,0
rengöringsmedel,0,0,0,0,0,0,0,0,0,0
försämras,0,0,0,1,0,1,0,1,0,0
försämrats,0,0,1,0,0,1,0,1,0,0
försämring,1,0,1,1,0,1,0,1,0,0
bestämbar,0,0,0,0,0,0,0,0,0,0
bestämma,0,1,0,0,0,0,0,0,0,1
bestämning,0,0,0,0,0,0,1,0,0,1
fast besluten,0,0,0,0,0,0,1,0,0,0
avsky,1,0,1,0,0,1,0,0,0,0
detonera,0,0,0,1,0,1,0,0,1,0
detonation,1,0,0,0,0,0,0,0,0,0
omväg,0,0,0,0,0,0,0,0,0,0
förringa,1,0,0,0,0,1,0,0,0,0
skada,0,0,0,0,0,1,0,0,0,0
skadlig,0,0,0,0,0,1,0,0,0,0
detritus,0,0,0,0,0,1,0,0,0,0
tvåa,0,0,0,0,0,0,0,0,0,0
ödelägga,1,0,0,1,0,1,0,1,0,0
förödande,1,0,1,1,0,1,0,1,0,1
förödelse,1,0,0,1,0,1,0,1,1,0
utveckla,0,1,0,0,0,0,1,0,0,0
utvecklande,0,0,0,0,0,0,0,0,0,0
utveckling,0,0,0,0,0,0,0,0,0,0
avvika,0,0,0,0,0,0,0,0,0,0
avvikande,0,0,0,0,0,0,0,0,0,0
avvikelse,0,0,0,0,0,0,0,1,0,0
enhet,0,0,0,0,0,0,0,0,0,0
jäkel,1,1,1,1,0,1,0,1,0,0
djävulsk,0,0,1,1,0,1,0,0,0,0
oärlig,0,0,0,0,0,1,0,0,0,0
tänka ut,0,0,0,0,0,0,0,0,0,0
saknar,0,0,0,0,0,0,0,0,0,0
delegering,0,0,0,0,0,1,0,0,0,0
överlåta,0,0,0,0,0,0,0,0,0,0
hänge,0,0,0,0,0,0,0,0,0,0
anhängare,0,0,0,0,0,0,0,0,0,0
andakt,0,0,0,0,0,0,1,0,0,1
sluka,0,0,0,0,0,1,0,0,0,0
from,0,1,0,0,1,0,1,0,0,1
dagg,0,0,0,0,0,0,0,0,0,0
dexter,0,0,0,0,0,0,0,0,0,0
fingerfärdighet,0,0,0,0,0,0,1,0,0,0
glukos,0,0,0,0,0,0,0,0,0,0
djävulsk,1,0,1,1,0,1,0,0,0,0
diagnos,0,1,0,1,0,1,0,0,0,1
diagnostisk,0,0,0,0,0,0,0,0,0,0
diagnostik,0,0,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0,0,0
ringa,0,0,0,0,0,0,0,0,0,0
dialekt,0,0,0,0,0,0,0,0,0,0
dialektik,0,0,0,0,0,0,0,0,0,0
dialog,0,0,0,0,0,0,0,0,0,0
diameter,0,0,0,0,0,0,0,0,0,0
diamant-,0,0,0,0,1,0,1,0,0,0
ruter,0,0,0,0,0,0,0,0,0,0
blöja,0,0,1,0,0,0,0,0,0,0
diafragman,0,0,0,0,0,0,0,0,0,0
diarre,0,0,1,0,0,0,0,0,0,0
dagbok,0,0,0,0,1,0,1,0,0,1
diatribe,1,0,1,0,0,1,0,0,0,0
tärningar,0,0,0,0,0,0,0,0,0,0
dikotom,0,0,0,0,0,0,0,0,0,0
dikotomi,0,0,0,0,0,0,0,0,0,0
diktera,0,0,0,0,0,0,0,0,0,0
diktat,0,0,0,0,0,0,0,0,0,0
diktator,0,0,0,1,0,1,0,0,0,0
diktatorisk,1,0,0,0,0,1,0,0,0,0
diktatur,1,1,1,1,0,1,0,1,0,0
diktion,0,0,0,0,0,0,0,0,0,0
lexikon,0,0,0,0,0,0,1,0,0,1
uttalande,0,0,0,0,0,0,0,0,0,1
didaktisk,0,0,0,0,0,0,1,0,0,0
dö,0,0,0,1,0,1,0,1,0,0
diet,0,0,0,0,0,0,0,0,0,0
diet-,0,1,0,0,0,0,1,0,0,0
skilja sig,0,0,0,0,0,0,0,0,0,0
skillnad,0,0,0,0,0,0,0,0,0,0
skillnader,0,0,0,0,0,0,0,0,0,0
differentiell,0,0,0,0,0,0,0,0,0,1
differentiering,0,0,0,0,0,0,0,0,0,0
annorlunda,0,0,0,0,0,0,0,0,1,0
skiljer sig åt,0,0,0,0,0,0,0,0,0,0
svår,0,0,0,1,0,0,0,0,0,0
svårigheter,0,0,0,0,0,1,0,1,0,0
svårighet,1,0,0,1,0,1,0,1,0,0
diffus,0,0,0,0,0,0,0,0,0,0
diffusion,0,0,0,0,0,0,0,0,0,0
gräv,0,0,0,0,0,0,0,0,0,0
smälta,0,0,0,0,0,0,0,0,0,0
matsmältning,0,0,0,0,0,0,0,0,0,0
siffra,0,0,0,0,0,0,0,0,0,1
värdig,0,0,0,0,0,0,1,0,0,0
värdighet,0,0,0,0,0,0,1,0,0,1
avvika,0,1,0,0,0,1,0,0,0,0
gräver,0,0,0,0,0,0,0,0,0,0
dike,0,0,0,1,0,0,0,0,0,0
förfallen,0,0,1,0,0,1,0,1,0,0
utvidgning,0,0,0,0,0,0,0,0,0,0
utvidgning,0,0,0,0,0,0,0,0,0,0
dilemma,0,0,0,0,0,0,0,0,0,0
flit,0,0,0,0,0,0,1,0,0,1
flitig,0,0,0,0,0,0,0,0,0,0
utspädningsmedel,0,0,0,0,0,0,0,0,0,0
utspädd,0,0,0,0,0,1,0,0,0,0
utspädd,0,0,0,0,0,0,0,0,0,0
utspädning,0,0,0,0,0,0,0,0,0,0
dime,0,0,0,0,0,0,0,0,0,0
dimensionera,0,0,0,0,0,0,0,0,0,0
minska,0,0,0,0,0,1,0,1,0,0
minskat,0,0,0,0,0,1,0,0,0,0
förminskning,0,0,0,0,0,0,0,0,0,0
diminutiv,0,0,0,0,0,0,0,0,0,0
dån,0,0,0,0,0,1,0,0,0,0
äta middag,0,0,0,0,0,0,0,0,0,0
diner,0,0,0,0,0,0,0,0,0,0
middag,0,0,0,0,0,0,1,0,0,0
dinosaurie,0,0,0,1,0,0,0,0,0,0
dint,0,0,0,0,0,0,0,0,0,0
stift,0,0,0,0,0,0,0,0,0,0
stift,0,0,0,0,0,0,0,0,0,0
diorama,0,0,0,0,0,0,0,0,0,0
dopp,0,0,0,0,0,0,0,0,0,0
diplom,0,0,0,0,0,0,0,0,0,0
diplomati,0,1,0,0,0,0,1,0,0,1
diplomat,0,0,0,0,0,0,0,0,0,0
diplomatisk,0,0,0,0,0,0,1,0,0,1
förfärligt,0,0,1,1,0,1,0,1,1,0
riktad,0,0,0,0,0,0,0,0,0,0
riktning,0,0,0,0,0,0,0,0,0,0
direkt,0,0,0,0,0,0,0,0,0,0
direktör,0,0,0,0,0,0,1,0,0,1
katalog,0,0,0,0,0,0,0,0,0,0
smuts,0,0,1,0,0,1,0,0,0,0
smutsig,0,0,1,0,0,1,0,0,0,0
handikapp,0,0,0,0,0,1,0,1,0,0
inaktivera,0,0,0,1,0,1,0,1,0,0
Inaktiverad,0,0,0,1,0,1,0,1,0,0
nackdel,0,0,0,0,0,0,0,0,0,0
missnöjd,0,0,0,0,0,1,0,0,0,0
instämmer inte alls,1,0,0,0,0,1,0,0,0,0
obehaglig,0,0,0,0,0,0,0,0,0,0
håller inte med,1,0,0,0,0,1,0,1,0,0
oenighet,1,0,0,0,0,1,0,1,0,0
inte godkänna,0,0,0,0,0,0,0,0,0,0
otillåten,1,0,1,1,0,1,0,1,0,0
försvinna,0,0,0,1,0,0,0,0,0,0
försvinnande,0,0,0,0,0,0,0,0,0,0
försvinner,0,0,0,0,0,0,0,0,0,0
svika,1,0,1,0,0,1,0,1,0,0
besviken,1,0,1,0,0,1,0,1,0,0
en besvikelse,0,0,0,0,0,1,0,1,0,0
besvikelse,0,0,1,0,0,1,0,1,0,0
ogillande,0,0,0,0,0,1,0,1,0,0
ogilla,1,0,1,1,0,1,0,1,0,0
ogillades,1,0,0,0,0,1,0,1,0,0
ogillar,1,0,1,0,0,1,0,1,0,0
avväpna,0,0,0,0,0,0,0,0,0,0
oordning,0,0,0,0,0,0,0,0,0,0
katastrof,1,0,1,1,0,1,0,1,1,0
katastrofal,1,0,0,1,0,1,0,1,0,0
upplösa,0,0,0,0,0,0,0,0,0,0
misstro,0,0,0,0,0,0,0,0,0,0
inte tro,0,0,0,0,0,1,0,0,0,0
betala ut,0,0,0,0,0,0,0,0,0,0
utbetalning,0,0,0,0,0,0,0,0,0,0
skiva,0,0,0,0,0,0,0,0,0,0
kasseras,0,0,0,0,0,0,0,0,0,0
kasserar,0,0,0,0,0,1,0,0,0,0
urskilja,0,0,0,0,0,0,0,0,0,0
märkbar,0,0,0,0,0,0,0,0,0,0
kräsna,0,0,0,0,0,0,0,0,0,0
urskillning,0,0,0,0,0,0,0,0,0,0
ansvarsfrihet,0,0,0,0,0,1,0,0,0,0
lärjunge,0,0,0,0,0,0,0,0,0,1
disciplin,0,0,0,1,0,1,0,0,0,0
friskrivning,1,0,1,0,0,1,0,0,0,1
varning,0,0,0,0,0,0,0,0,0,0
avslöja,0,0,0,0,0,0,0,0,0,0
avslöjats,0,0,0,0,0,0,0,0,0,1
avslöjande,0,0,0,0,0,0,0,0,0,0
missfärgning,0,0,1,0,0,1,0,0,0,0
missfärgad,0,0,1,0,0,1,0,1,0,0
obehag,0,0,0,0,0,1,0,1,0,0
koppla ifrån,0,0,0,0,0,1,0,1,0,0
osammanhängande,0,0,0,0,0,1,0,1,0,0
urkoppling,0,0,0,0,0,1,0,0,0,0
missnöje,1,0,1,1,0,1,0,1,0,0
upphörande,0,0,0,0,0,0,0,0,0,0
avbryta,0,0,0,0,0,1,0,0,0,0
avbrott,0,0,1,1,0,1,0,1,0,0
diskontinuerlig,0,0,0,0,0,0,0,0,0,0
disharmoni,1,0,1,0,0,1,0,0,0,0
rabatt,0,0,0,0,0,0,0,0,0,0
rabatterade,0,0,0,0,0,0,0,0,0,0
avskräcka,0,0,0,1,0,1,0,1,0,0
avskräckt,0,0,0,0,0,0,0,0,0,0
modfälldhet,0,0,0,0,0,1,0,0,0,0
samtala,0,0,0,0,0,0,0,0,0,0
Upptäck,0,0,0,0,0,0,0,0,0,0
upptäckt,0,0,0,0,0,0,1,0,0,0
misskreditera,0,0,0,0,0,1,0,0,0,0
diskret,0,1,0,0,0,0,1,0,0,0
avvikelse,0,0,0,0,0,0,0,0,0,0
diskret,0,0,0,0,0,0,0,0,0,0
diskretion,0,1,0,0,0,0,1,0,0,1
diskretionär,0,0,0,0,0,0,1,0,0,0
diskriminera,1,0,0,0,0,1,0,1,0,0
särskiljande,0,0,1,0,0,1,0,0,0,0
diskriminering,1,0,1,1,0,1,0,1,0,0
diskus,0,0,0,0,0,0,0,0,0,0
diskutera,0,0,0,0,0,0,0,0,0,0
diskussion,0,0,0,0,0,0,1,0,0,0
förakt,1,0,1,0,0,1,0,0,0,0
sjukdom,1,0,1,1,0,1,0,1,0,0
sjuklig,0,0,1,1,0,1,0,1,0,0
kroppslös,0,0,0,1,0,1,0,1,0,0
koppla ur,0,0,0,0,0,0,0,0,0,0
urkoppling,0,0,0,0,0,1,0,0,0,0
vanställd,1,0,1,1,0,1,0,1,0,0
skam,1,0,1,0,0,1,0,1,0,0
vanärat,1,0,1,0,0,1,0,1,0,0
vanhedrande,1,0,1,0,0,1,0,0,0,0
missnöjd,1,0,1,0,0,1,0,1,0,0
maskera,0,0,0,0,0,0,0,0,0,0
förtäckt,0,0,0,0,0,0,0,0,0,0
avsky,1,0,1,1,0,1,0,1,0,0
äcklig,1,0,1,1,0,1,0,0,0,0
maträtt,0,0,0,0,0,0,0,0,0,0
nedslående,0,0,0,0,0,1,0,1,0,0
nedslående,0,0,0,0,0,1,0,1,0,0
oärlig,1,0,1,0,0,1,0,1,0,0
oärlighet,0,0,1,0,0,1,0,0,0,0
vanära,1,0,1,1,0,1,0,1,0,0
desillusion,1,0,1,0,0,1,0,1,0,0
desinficera,0,0,0,0,0,0,0,0,0,0
desinfektionsmedel,0,0,0,0,0,0,0,0,0,0
desinfektion,0,0,0,0,0,0,1,0,0,0
desinformation,1,0,0,1,0,1,0,0,0,0
oseriöst,0,0,1,0,0,1,0,0,0,0
desintegrera,0,0,1,1,0,1,0,0,0,0
upplösning,0,0,0,0,0,1,0,0,0,0
ointresserad,0,0,0,0,0,1,0,0,0,0
osammanhängande,0,0,0,0,0,0,0,0,0,0
osammanhängande,0,0,0,0,0,0,0,0,0,0
disjunktiv,0,0,0,0,0,0,0,0,0,0
disk,0,0,0,0,0,0,0,0,0,0
diskett,0,0,0,0,0,0,0,0,0,0
motvilja,1,0,1,0,0,1,0,0,0,0
ogillade,1,0,0,0,0,1,0,1,0,0
ur led,1,0,1,1,0,1,0,1,0,0
förskjutning,0,0,0,0,0,0,0,0,0,0
rubba,0,0,0,0,0,0,0,0,0,0
dyster,0,0,1,1,0,1,0,1,0,0
bestörtning,1,1,0,1,0,1,0,1,1,0
styckning,0,0,1,1,0,1,0,1,0,0
avfärda,0,0,0,0,0,0,0,0,0,0
uppsägning,1,0,1,1,0,1,0,1,1,0
sitta av,0,0,0,0,0,0,0,0,0,0
olydnad,1,0,1,0,0,1,0,0,0,0
olydig,1,0,0,0,0,1,0,0,0,0
inte lyda,1,0,1,0,0,1,0,0,0,0
oordning,0,0,0,1,0,1,0,0,0,0
bråkig,0,0,0,0,0,1,0,0,0,0
oorganiserat,0,0,0,0,0,1,0,0,0,0
nedvärdera,1,0,1,0,0,1,0,1,0,0
nedsättande,1,0,1,0,0,1,0,1,0,0
disparat,0,0,0,0,0,0,0,0,0,0
skillnad,1,0,1,0,0,1,0,1,0,0
opartisk,0,0,0,0,0,1,0,1,0,0
avsändande,0,0,0,0,0,0,0,0,0,0
skingra,0,0,0,0,0,1,0,1,0,0
dispens,0,0,0,0,0,0,0,0,0,0
fördela,0,0,0,0,0,0,0,0,0,0
skingra,0,0,0,0,0,0,0,0,0,0
spridda,0,0,0,0,0,0,0,0,0,0
dispersion,0,0,0,0,0,1,0,0,0,0
förflytta,0,0,0,0,0,1,0,0,0,0
förskjuten,1,0,0,1,0,0,0,1,0,0
förflyttning,0,0,0,0,0,0,0,0,0,0
visa,0,0,0,0,0,0,0,0,0,0
missnöjd,1,0,1,1,0,1,0,1,0,0
missnöje,0,0,1,0,0,1,0,0,0,0
förfogande,0,0,0,0,0,1,0,0,0,0
kassera,0,0,1,0,0,0,0,0,0,0
kasseras,0,1,0,0,0,0,1,0,0,1
disposition,0,0,0,0,0,0,0,0,0,0
fördrivits,1,0,0,1,0,1,0,1,0,0
vederlägga,0,0,0,0,0,0,0,0,0,0
tvist,1,0,0,0,0,1,0,0,0,0
diskvalifikation,0,0,0,0,0,1,0,0,0,0
diskvalificerad,1,0,1,0,0,1,0,1,0,0
diskvalificera,0,0,0,0,0,1,0,1,0,0
bortse från,0,0,0,0,0,1,0,0,0,0
bortses från,0,0,1,0,0,1,0,0,0,0
vanhedrande,1,0,1,1,0,1,0,0,0,0
vanrykte,0,0,0,0,0,0,0,0,0,0
respektlöshet,1,0,0,0,0,1,0,0,0,0
respektlös,1,0,1,1,0,1,0,1,0,0
störning,1,0,0,1,0,1,0,0,1,0
missnöje,0,0,0,0,0,1,0,0,0,0
missnöjd,0,0,0,0,0,0,0,0,0,0
dissekera,0,0,0,0,0,0,0,0,0,0
dissektion,0,0,1,0,0,0,0,0,0,0
sprida,0,0,0,0,0,0,1,0,0,0
spridning,0,0,0,0,0,0,0,0,0,0
oenighet,1,0,0,0,0,1,0,0,0,0
meningsskiljaktighet,0,0,0,0,0,0,0,0,0,0
oliktänkande,0,0,0,0,0,1,0,0,0,0
avhandling,0,0,0,0,0,0,0,0,0,0
otjänst,1,0,1,0,0,1,0,1,0,0
oliktänkande,1,0,0,1,0,1,0,0,0,0
olika,0,0,0,0,0,0,0,0,0,0
skingra,0,0,0,0,0,0,0,0,0,0
skingras,0,0,0,0,0,0,0,0,0,0
dissociation,0,0,0,0,0,0,0,0,0,0
upplösning,1,0,0,1,0,1,0,1,1,0
lösa upp,0,0,0,0,0,0,0,0,0,0
dissonans,1,0,0,0,0,1,0,0,0,0
avråda,0,0,0,0,0,0,0,0,0,0
distala,0,0,0,0,0,0,0,0,0,0
distans,0,0,0,0,0,0,0,0,0,0
avlägsen,0,0,0,0,0,0,0,0,0,0
avsmak,0,0,1,0,0,1,0,0,0,0
motbjudande,0,0,1,0,0,1,0,0,0,0
destillat,0,0,0,0,0,0,0,0,0,0
destillering,0,0,0,0,0,0,1,0,0,0
åtskillnad,0,0,0,0,0,0,1,0,0,0
särskiljande,0,0,0,0,0,0,0,0,0,0
skilja på,0,0,0,0,0,0,0,0,0,0
särskiljbar,0,0,0,0,0,0,0,0,0,0
distingerad,0,0,0,0,0,0,0,0,0,0
särskiljande,0,0,0,0,0,0,0,0,0,0
förvrängd,0,0,1,0,0,1,0,0,0,0
förvrängning,0,0,0,0,0,1,0,0,0,0
distrahera,0,0,0,0,0,1,0,0,0,0
förvirrad,1,0,0,0,0,1,0,0,0,0
distraherande,1,1,0,0,0,1,0,0,0,0
distraktion,0,0,0,0,0,1,0,0,0,0
upprörd,0,0,0,0,0,1,0,1,0,0
ångest,1,0,1,1,0,1,0,1,1,0
bedrövad,0,0,0,1,0,1,0,0,0,0
ömmande,1,0,0,1,0,1,0,0,0,0
distribuera,0,0,0,0,0,0,0,0,0,0
distribution,0,0,0,0,0,0,0,0,0,0
distrikt,0,0,0,0,0,0,0,0,0,0
misstro,1,0,1,1,0,1,0,0,0,0
störning,1,0,0,1,0,1,0,1,1,0
störd,1,0,0,0,0,1,0,1,0,0
bruk,0,0,0,0,0,1,0,0,0,0
nedlagd,1,0,0,0,0,1,0,0,0,0
dike,0,0,0,0,0,0,0,0,0,0
dito,0,0,0,0,0,0,0,0,0,0
duktiga,0,0,0,0,1,0,1,0,0,0
dygn,0,0,0,0,0,0,0,0,0,0
divan,0,0,0,0,0,0,0,0,0,1
dyka,0,0,0,0,0,0,0,0,0,0
